#automap RITHMIC,,,,,,,,,,,,,,
Symbol, Price Level, Note, Foreground Color, Background Color, Text Alignment, DIAMETER, DRAW_NOTE_PRICE_HORIZONTAL_LINE
MNQU5,23450,HVN,#000000,#D6D670,left,8,TRUE
MNQU5,23370,HVN,#000000,#D6D670,left,8,TRUE
MNQU5,23570,HVN,#000000,#D6D670,left,8,TRUE
MNQU5,23580,HVN,#000000,#D6D670,left,8,TRUE
MNQU5,23560,HVN,#000000,#D6D670,left,8,TRUE
MNQU5,23680,HVN,#000000,#D6D670,left,8,TRUE
MNQU5,23800,HVN,#000000,#D6D670,left,8,TRUE
MNQU5,23555,PD_IBM,#000000,#D3D3D3,left,8,TRUE
MNQU5,23400,HVN,#000000,#D6D670,left,8,TRUE
MNQU5,23410,LVN,#000000,#C07090,left,4,TRUE
MNQU5,23482,LVN,#000000,#C07090,left,4,TRUE
MNQU5,23625,LVN,#000000,#C07090,left,4,TRUE
MNQU5,23660,LVN,#000000,#C07090,left,4,TRUE
MNQU5,23110,HVN,#000000,#D6D670,left,8,TRUE
MNQU5,23500,HVN,#000000,#D6D670,left,8,TRUE
MNQU5,23675,HVN,#000000,#D6D670,left,8,TRUE
MNQU5,23435,WPOC,#000000,#FF4500,left,12,TRUE
MNQU5,23220,WVAL,#FFFFFF,#1E3A8A,left,10,TRUE
MNQU5,23535,WVAH,#FFFFFF,#0B6623,left,10,TRUE
