#automap RITHMIC,,,,,,,,,,,,,,
Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,DIAMETER, DRAW_NOTE_PRICE_HORIZONTAL_LINE
MNQZ5,23027,VAEL_Low,#FFFFFF,#00008B,left,12,TRUE
MNQZ5,23055,VAEL_Mid,#FFFFFF,#00008B,left,12,TRUE
MNQZ5,23083,VAEL_High,#FFFFFF,#00008B,left,12,TRUE
MNQZ5,23258,VAEH_Low,#FFFFFF,#8B0000,left,12,TRUE
MNQZ5,23320,VAEH_Mid,#FFFFFF,#8B0000,left,12,TRUE
MNQZ5,23381,VAEH_High,#FFFFFF,#8B0000,left,12,TRUE
MNQZ5,23532,PDH,#000000,#4F678F,left,20,TRUE
MNQZ5,23673,WCsettlement,#FFFFFF,#FF0000,left,12,TRUE
MNQZ5,23792,ONH,#FFFFFF,#FFB0B0,left,12,TRUE
MNQZ5,23650,ONL,#FFFFFF,#FFB0B0,left,12,TRUE
