#automap RITHMIC
Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,DIAMETER, DRAW_NOTE_PRICE_HORIZONTAL_LINE
MNQZ5,23470,PDVAH_09/03,#000000,#FFC0CB,left,4,TRUE
MNQZ5,23374,PDVAL_09/03,#000000,#90EE90,left,4,TRUE
MNQZ5,23780,POC,#000000,#FFE680,left,4,TRUE
MNQZ5,23457,POC,#000000,#FFE680,left,4,TRUE
MNQZ5,23512,WVAH,#000000,#FF82A9,left,6,TRUE
MNQZ5,23617,WVAH,#000000,#FF82A9,left,6,TRUE
MNQZ5,23969,WVAH,#000000,#FF82A9,left,6,TRUE
MNQZ5,23930,WPOC,#000000,#FFC247,left,6,TRUE
MNQZ5,23209,WPOC,#000000,#FFC247,left,6,TRUE
MNQZ5,23040,WVAL,#000000,#51D651,left,6,TRUE
MNQZ5,23045,WVAL,#000000,#51D651,left,6,TRUE
MNQZ5,23443,WVAL,#000000,#51D651,left,6,TRUE
MNQZ5,23835,MVAH,#000000,#FF3C85,left,8,TRUE
MNQZ5,23219,MVAL,#000000,#12B012,left,8,TRUE
MNQZ5,22222,MVAH,#000000,#FF3C85,left,8,TRUE
MNQZ5,22050,MPOC,#000000,#FF9900,left,8,TRUE
MNQZ5,21715,MVAL,#000000,#12B012,left,8,TRUE
MNQZ5,23272,IBLx2_09/04,#000000,#FF4500,left,6,TRUE
MNQZ5,23410,IBL_09/04,#000000,#5555FF,left,5,TRUE
MNQZ5,23445,IBHalfDn_09/04,#000000,#FFA500,left,5,TRUE
MNQZ5,23480,IBMid_09/04,#000000,#00BFA5,left,5,TRUE
MNQZ5,23514,IBHalfUp_09/04,#000000,#FFA500,left,5,TRUE
MNQZ5,23548,IBH_09/04,#000000,#5555FF,left,5,TRUE
MNQZ5,23618,IBH_0.5_09/04,#000000,#32CD32,left,6,TRUE
MNQZ5,23686,IBHx2_09/04,#000000,#32CD32,left,6,TRUE
MNQZ5,24536,WPOC,#000000,#FFC247,left,6,TRUE
MNQZ5,24337,WPOC,#000000,#FFC247,left,6,TRUE
MNQZ5,24555,WVAH,#000000,#FF82A9,left,6,TRUE
MNQZ5,24395,WVAH,#000000,#FF82A9,left,6,TRUE
MNQZ5,24495,WVAL,#000000,#51D651,left,6,TRUE
MNQZ5,24242,WVAL,#000000,#51D651,left,6,TRUE
