#automap RITHMIC,,,,,,,,,,,,,,
Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,DIAMETER, DRAW_NOTE_PRICE_HORIZONTAL_LINE
NQZ5,24000,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24025,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24050,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24075,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24100,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24125,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24150,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24175,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24200,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24225,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24250,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24275,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24300,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24325,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24350,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24375,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24400,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24425,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24450,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24475,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24500,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24525,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24550,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24575,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24600,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24625,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24650,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24675,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24700,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24725,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24750,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24775,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24800,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24825,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24850,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24875,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24900,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24925,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,24950,GRID25,#000000,#FFE082,left,4,TRUE
NQZ5,24975,GRID25,#000000,#B3E5FC,left,2,TRUE
NQZ5,25000,GRID25,#000000,#FFE082,left,4,TRUE
