#automap RITHMIC
Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,DIAMETER, DRAW_NOTE_PRICE_HORIZONTAL_LINE
NQU5,23470,PDVAH_09/03,#000000,#FFC0CB,left,4,TRUE
NQU5,23374,PDVAL_09/03,#000000,#90EE90,left,4,TRUE
NQU5,23780,POC,#000000,#FFE680,left,4,TRUE
NQU5,23457,POC,#000000,#FFE680,left,4,TRUE
NQU5,23512,WVAH,#000000,#FF82A9,left,6,TRUE
NQU5,23617,WVAH,#000000,#FF82A9,left,6,TRUE
NQU5,23969,WVAH,#000000,#FF82A9,left,6,TRUE
NQU5,23930,WPOC,#000000,#FFC247,left,6,TRUE
NQU5,23209,WPOC,#000000,#FFC247,left,6,TRUE
NQU5,23040,WVAL,#000000,#51D651,left,6,TRUE
NQU5,23045,WVAL,#000000,#51D651,left,6,TRUE
NQU5,23443,WVAL,#000000,#51D651,left,6,TRUE
NQU5,23835,MVAH,#000000,#FF3C85,left,8,TRUE
NQU5,23219,MVAL,#000000,#12B012,left,8,TRUE
NQU5,22222,MVAH,#000000,#FF3C85,left,8,TRUE
NQU5,22050,MPOC,#000000,#FF9900,left,8,TRUE
NQU5,21715,MVAL,#000000,#12B012,left,8,TRUE
NQU5,23272,IBLx2_09/05,#FFFFFF,#FF4500,left,6,TRUE
NQU5,23410,IBL_09/05,#FFFFFF,#5555FF,left,5,TRUE
NQU5,23445,IBHalfDn_09/05,#FFFFFF,#FFA500,left,5,TRUE
NQU5,23480,IBMid_09/05,#FFFFFF,#00BFA5,left,5,TRUE
NQU5,23514,IBHalfUp_09/05,#FFFFFF,#FFA500,left,5,TRUE
NQU5,23548,IBH_09/05,#FFFFFF,#5555FF,left,5,TRUE
NQU5,23618,IBH_0.5_09/05,#FFFFFF,#32CD32,left,6,TRUE
NQU5,23686,IBHx2_09/05,#FFFFFF,#32CD32,left,6,TRUE
